X,Y,Z1,Z2,,,
100.462,254.892,39,2.649,75,100,78
827.775,255.722,25,2.649,74,91,88
283.121,133.673,77,2.649,,,
283.121,354.524,90,2.649,,,
464.119,88.008,75,2.649,,,
463.289,400.188,100,2.649,,,
645.947,115.407,74,2.649,,,
645.117,385.244,91,2.649,,,
283.121,133.673,77,2.649,,,
283.121,354.524,90,2.649,,,
283.121,261.534,27,2.649,,,
464.119,88.008,75,2.649,,,
463.289,400.188,100,2.649,,,
464.119,254.892,78,2.649,,,
645.947,115.407,74,2.649,,,
645.117,385.244,91,2.649,,,
645.947,255.722,88,2.649,,,