X,Y,z1,Z2,,,
230.814,443.362,98,3.252,97,64,82
885.063,438.380,1,3.252,70,50,75
393.546,287.272,109,3.252,,,
393.546,655.910,91,3.252,,,
556.278,257.382,97,3.252,,,
557.939,695.763,64,3.252,,,
720.671,285.611,70,3.252,,,
720.671,622.699,50,3.252,,,
393.546,287.272,109,3.252,,,
393.546,655.910,91,3.252,,,
393.546,408.491,64,3.252,,,
556.278,257.382,97,3.252,,,
557.939,695.763,64,3.252,,,
556.278,403.509,82,3.252,,,
720.671,285.611,70,3.252,,,
720.671,622.699,50,3.252,,,
720.671,438.380,75,3.252,,,